code	level	parent	name_en
7222	unit	722	Toolmakers and Related Workers
7223	unit	722	Metal Working Machine Tool Setters and Operators
7224	unit	722	Metal Polishers, Wheel Grinders and Tool Sharpeners
723	minor	72	Machinery Mechanics and Repairers
7231	unit	723	Motor Vehicle Mechanics and Repairers
7232	unit	723	Aircraft Engine Mechanics and Repairers
7233	unit	723	Agricultural and Industrial Machinery Mechanics and Repairers
7234	unit	723	Bicycle and Related Repairers
73	sub-major	7	Handicraft and Printing Workers
731	minor	73	Handicraft Workers
7311	unit	731	Precision-instrument Makers and Repairers
7312	unit	731	Musical Instrument Makers and Tuners
7313	unit	731	Jewellery and Precious Metal Workers
7314	unit	731	Potters and Related Workers
7315	unit	731	Glass Makers, Cutters, Grinders and Finishers
7316	unit	731	Sign Writers, Decorative Painters, Engravers and Etchers
7317	unit	731	Handicraft Workers in Wood, Basketry and Related Materials
7318	unit	731	Handicraft Workers in Textile, Leather and Related Materials
7319	unit	731	Handicraft Workers Not Elsewhere Classified
732	minor	73	Printing Trades Workers
7321	unit	732	Pre-press Technicians
7322	unit	732	Printers
7323	unit	732	Print Finishing and Binding Workers
74	sub-major	7	Electrical and Electronics Trades Workers
741	minor	74	Electrical Equipment Installers and Repairers
7411	unit	741	Building and Related Electricians
7412	unit	741	Electrical Mechanics and Fitters
7413	unit	741	Electrical Line Installers and Repairers
742	minor	74	Electronics and Telecommunications Installers and Repairers
7421	unit	742	Electronics Mechanics and Servicers
7422	unit	742	Information and Communications Technology Installers and Servicers
75	sub-major	7	Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers
751	minor	75	Food Processing and Related Trades Workers
7511	unit	751	Butchers, Fishmongers and Related Food Preparers
7512	unit	751	Bakers, Pastry-cooks and Confectionery Makers
7513	unit	751	Dairy Products Makers
7514	unit	751	Fruit, Vegetable and Related Preservers
7515	unit	751	Food and Beverage Tasters and Graders
7516	unit	751	Tobacco Preparers and Tobacco Products Makers
752	minor	75	Wood Treaters, Cabinet-makers and Related Trades Workers
7521	unit	752	Wood Treaters
7522	unit	752	Cabinet-makers and Related Workers
7523	unit	752	Woodworking Machine Tool Setters and Operators
753	minor	75	Garment and Related Trades Workers
7531	unit	753	Tailors, Dressmakers, Furriers and Hatters
7532	unit	753	Garment and Related Patternmakers and Cutters
7533	unit	753	Sewing, Embroidery and Related Workers
7534	unit	753	Upholsterers and Related Workers
7535	unit	753	Pelt Dressers, Tanners and Fellmongers
7536	unit	753	Shoemakers and Related Workers
754	minor	75	Other Craft and Related Workers
7541	unit	754	Underwater Divers
7542	unit	754	Shotfirers and Blasters
7543	unit	754	Product Graders and Testers (excluding Foods and Beverages)
7544	unit	754	Fumigators and Other Pest and Weed Controllers
7549	unit	754	Craft and Related Workers Not Elsewhere Classified
8	major		Plant and Machine Operators, and Assemblers
81	sub-major	8	Stationary Plant and Machine Operators
811	minor	81	Mining and Mineral Processing Plant Operators
8111	unit	811	Miners and Quarriers
8112	unit	811	Mineral and Stone Processing Plant Operators
